No,カテゴリ,スコア難易度,投稿文,正解,解説,返信文,投稿日,投稿時間
1,品詞問題系,700,"英語学習者の9割がここで詰まります。

The evidence strongly _____ that the project should be reconsidered.

(A) suggests
(B) suggest
(C) suggestion
(D) suggestive

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,主語 The evidence は三人称単数→動詞 suggests が正解。B は複数主語に使う原形。C:名詞 D:形容詞,"正解は(A) suggests！

主語 The evidence は三人称単数→動詞 suggests が正解。B は複数主語に使う原形。C:名詞 D:形容詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/22,06:53
2,品詞問題系,700,"シンプルに見えて、実は間違える人が多いやつ。

She handled the difficult client _____ despite having no prior experience.

(A) remark
(B) remarkably
(C) remarkable
(D) remarked

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,動詞 handled を修飾する副詞 remarkably が正解。A:動詞/名詞 C:形容詞は動詞を修飾できない D:過去分詞,"正解は(B) remarkably！

動詞 handled を修飾する副詞 remarkably が正解。A:動詞/名詞 C:形容詞は動詞を修飾できない D:過去分詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/23,07:02
3,品詞問題系,800,"一見簡単。でもほとんどの人が引っかかります。

Management expects all branch offices to remain _____ throughout the audit.

(A) operation
(B) operational
(C) operate
(D) operationally

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,remain の補語として形容詞 operational（稼働中の）が正解。A:名詞 C:動詞原形 D:副詞は補語不可,"正解は(B) operational！

remain の補語として形容詞 operational（稼働中の）が正解。A:名詞 C:動詞原形 D:副詞は補語不可

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/24,06:57
4,品詞問題系,800,"TOEICer の7割が選ぶ不正解、あなたは？

The contract stipulates that the supplier _____ delivery within 30 days.

(A) guarantee
(B) guarantees
(C) will guarantee
(D) guaranteeing

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,stipulate that + S + 原形動詞（仮定法現在）→ guarantee が正解。B の三単現 guarantees は最大のひっかけ。TOEIC頻出構文,"正解は(A) guarantee！

stipulate that + S + 原形動詞（仮定法現在）→ guarantee が正解。B の三単現 guarantees は最大のひっかけ。TOEIC頻出構文

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/25,07:08
5,品詞問題系,800,"自信ある人ほど引っかかります。

The _____ in productivity following the software upgrade exceeded expectations.

(A) improves
(B) improved
(C) improvement
(D) improving

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,冠詞 The の後には名詞が入る。improvement（向上・改善）が正解。A/B:動詞形 D:現在分詞は名詞として機能しない,"正解は(C) improvement！

冠詞 The の後には名詞が入る。improvement（向上・改善）が正解。A/B:動詞形 D:現在分詞は名詞として機能しない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/26,06:51
6,品詞問題系,700,"一見簡単。でもほとんどの人が引っかかります。

All submitted proposals will be kept _____ until the final decision is made.

(A) confidentiality
(B) confidential
(C) confidently
(D) confide

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,keep O + 補語 の補語として形容詞 confidential（機密扱いの）が正解。A:名詞 C:副詞 D:動詞,"正解は(B) confidential！

keep O + 補語 の補語として形容詞 confidential（機密扱いの）が正解。A:名詞 C:副詞 D:動詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/27,07:05
7,品詞問題系,700,"シンプルに見えて、実は間違える人が多いやつ。

The CEO was reluctant to _____ the merger without consulting the shareholders.

(A) approve
(B) approval
(C) approving
(D) approved

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,reluctant to の後は動詞原形 approve が正解。B:名詞 C:動名詞は to に続けない D:過去分詞,"正解は(A) approve！

reluctant to の後は動詞原形 approve が正解。B:名詞 C:動名詞は to に続けない D:過去分詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/28,06:54
8,品詞問題系,800,"TOEIC700点でも間違える人続出の問題です。

The newly _____ regulations will affect all businesses in the sector.

(A) implement
(B) implements
(C) implemented
(D) implementation

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,名詞 regulations を前から修飾する形容詞的過去分詞 implemented が正解。A:動詞原形 B:三単現 D:名詞,"正解は(C) implemented！

名詞 regulations を前から修飾する形容詞的過去分詞 implemented が正解。A:動詞原形 B:三単現 D:名詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/29,07:00
9,品詞問題系,900,"3秒で答えられたらTOEIC 900点レベルです。

The board insisted that the CFO _____ an independent audit immediately.

(A) conduct
(B) conducts
(C) conducted
(D) conducting

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,insist that + S + 原形動詞（仮定法現在）→ conduct が正解。B の三単現が最大のひっかけ。TOEIC上級頻出構文,"正解は(A) conduct！

insist that + S + 原形動詞（仮定法現在）→ conduct が正解。B の三単現が最大のひっかけ。TOEIC上級頻出構文

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/30,06:58
10,品詞問題系,700,"これを知らないままだと、TOEIC 700点で伸び止まります。

_____ clients proactively about delays is key to maintaining trust.

(A) Inform
(B) Informing
(C) Informed
(D) Information

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,文の主語として機能する動名詞 Informing が正解。A:動詞原形は主語不可 C:形容詞 D:名詞は後ろに目的語を取れない,"正解は(B) Informing！

文の主語として機能する動名詞 Informing が正解。A:動詞原形は主語不可 C:形容詞 D:名詞は後ろに目的語を取れない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/05/31,07:10
11,品詞問題系,800,"TOEIC800点目指すなら絶対に落とせない一問。

The project manager is responsible for ensuring that deadlines are _____ met.

(A) consistent
(B) consistently
(C) consistency
(D) consists

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「一貫して期限が守られる」→ 動詞句 are met を修飾する副詞 consistently が正解。A/C:名詞・形容詞は副詞の代わりにならない,"正解は(B) consistently！

「一貫して期限が守られる」→ 動詞句 are met を修飾する副詞 consistently が正解。A/C:名詞・形容詞は副詞の代わりにならない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/01,06:52
12,品詞問題系,900,"TOEIC900点でも一瞬止まる問題です。

The merger negotiations remain _____ despite initial optimism from both sides.

(A) uncertainty
(B) uncertainly
(C) uncertain
(D) uncertified

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,remain の補語として形容詞 uncertain（不確かな）が正解。A:名詞 B:副詞 D:「未認証の」で意味が全く合わない,"正解は(C) uncertain！

remain の補語として形容詞 uncertain（不確かな）が正解。A:名詞 B:副詞 D:「未認証の」で意味が全く合わない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/02,07:03
13,品詞問題系,700,"本番で必ず出ます。今解いといてください。

The training program is designed to make employees _____ with the new system.

(A) familiarize
(B) familiar
(C) familiarity
(D) familiarizing

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,make O + 補語 の補語として形容詞 familiar（精通した）が正解。A:動詞原形 C:名詞 D:現在分詞,"正解は(B) familiar！

make O + 補語 の補語として形容詞 familiar（精通した）が正解。A:動詞原形 C:名詞 D:現在分詞

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/03,06:56
14,品詞問題系,900,"即答できたらTOEIC 900点の実力があります。

It is essential that every team member _____ the confidentiality agreement.

(A) signs
(B) sign
(C) signed
(D) signing

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,it is essential that + S + 原形動詞（仮定法現在）→ sign が正解。A の三単現が最大のひっかけ。TOEIC最頻出構文の一つ,"正解は(B) sign！

it is essential that + S + 原形動詞（仮定法現在）→ sign が正解。A の三単現が最大のひっかけ。TOEIC最頻出構文の一つ

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/04,07:07
15,品詞問題系,700,"これ、ぱっと見より難しいです。

The consultant's _____ on cost reduction proved invaluable to the company.

(A) advise
(B) advisory
(C) advice
(D) advisable

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,所有格の後には名詞が入る。advice（助言）が正解。A:動詞 B:形容詞（諮問的な）D:形容詞（望ましい）,"正解は(C) advice！

所有格の後には名詞が入る。advice（助言）が正解。A:動詞 B:形容詞（諮問的な）D:形容詞（望ましい）

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/05,06:50
16,語彙問題系,700,"これ解けないとTOEIC800超えは厳しいです。

The new safety protocols were put in place to _____ potential risks at the facility.

(A) reduce
(B) mitigate
(C) avoid
(D) prevent

答えはリプ👇

#TOEIC #英語学習 #勉強垢",B,「リスクを軽減する」= mitigate。reduce は削減。avoid/prevent は回避・防止で「軽減」とは異なるニュアンス,"正解は(B) mitigate！

「リスクを軽減する」= mitigate。reduce は削減。avoid/prevent は回避・防止で「軽減」とは異なるニュアンス

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/06,07:04
17,語彙問題系,800,"TOEIC700点でも間違える人続出の問題です。

The quarterly report _____ the company's financial performance in detail.

(A) outlines
(B) underlines
(C) headlines
(D) sidelines

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「概要を述べる」= outline。underline は強調する。headline/sideline は動詞としてこの文脈で使わない,"正解は(A) outlines！

「概要を述べる」= outline。underline は強調する。headline/sideline は動詞としてこの文脈で使わない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/07,06:55
18,語彙問題系,700,"シンプルに見えて、実は間違える人が多いやつ。

Before signing the contract, please read all the terms and _____ carefully.

(A) conditions
(B) requirements
(C) obligations
(D) circumstances

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「条件」= terms and conditions は英語の固定表現。requirements/obligations/circumstances では成立しない,"正解は(A) conditions！

「条件」= terms and conditions は英語の固定表現。requirements/obligations/circumstances では成立しない

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/08,07:01
19,語彙問題系,800,"自信ある人ほど引っかかります。

The announcement of the new benefits package was warmly _____ by all staff members.

(A) welcomed
(B) accepted
(C) received
(D) approved

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「温かく迎えられた」= warmly welcomed が最も自然なコロケーション。warmly accepted/received/approved は不自然,"正解は(A) welcomed！

「温かく迎えられた」= warmly welcomed が最も自然なコロケーション。warmly accepted/received/approved は不自然

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/09,06:59
20,語彙問題系,800,"TOEICer の7割が選ぶ不正解、あなたは？

The company is looking to _____ its market share by entering new regions.

(A) expand
(B) extend
(C) increase
(D) enlarge

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「市場シェアを拡大する」= expand market share が正しいコロケーション。extend は期間・期限向き。increase/enlarge も意味は近いが expand が圧倒的標準,"正解は(A) expand！

「市場シェアを拡大する」= expand market share が正しいコロケーション。extend は期間・期限向き。increase/enlarge も意味は近いが expand が圧倒的標準

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/10,07:09
21,語彙問題系,900,"これ無理ゲーじゃないですか？

The sudden resignation of the CFO has _____ investors' confidence in the company.

(A) undermined
(B) underestimated
(C) underlined
(D) undertaken

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「信頼を損なう」= undermine confidence が正しいコロケーション。underestimate は過小評価 underline は強調 undertake は着手する,"正解は(A) undermined！

「信頼を損なう」= undermine confidence が正しいコロケーション。underestimate は過小評価 underline は強調 undertake は着手する

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/11,06:53
22,語彙問題系,700,"英語学習者の9割がここで詰まります。

We regret to inform you that your application has been _____ at this time.

(A) declined
(B) rejected
(C) refused
(D) denied

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,ビジネスメールの丁寧な不採用通知には declined が最もフォーマル。rejected は否定的・直接的。refused/denied は要求・権利の拒否向き,"正解は(A) declined！

ビジネスメールの丁寧な不採用通知には declined が最もフォーマル。rejected は否定的・直接的。refused/denied は要求・権利の拒否向き

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/12,07:06
23,語彙問題系,700,"本当にTOEIC勉強してますか？確認します。

The company's new policy is fully _____ with international labor standards.

(A) consistent
(B) compatible
(C) compliant
(D) correspondent

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,「法律・規制に準拠している」= compliant with。compatible は機器の互換性。consistent with は内容の一致（微妙に異なる）,"正解は(C) compliant！

「法律・規制に準拠している」= compliant with。compatible は機器の互換性。consistent with は内容の一致（微妙に異なる）

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/13,06:51
24,語彙問題系,800,"TOEIC800点目指すなら絶対に落とせない一問。

The two companies _____ a joint venture to develop new technology.

(A) entered into
(B) made into
(C) took into
(D) set into

答えはリプ👇

#TOEIC #英語学習 #勉強垢",A,「（契約・合意に）入る」= enter into が正しいコロケーション。enter into an agreement / a joint venture はTOEIC頻出表現,"正解は(A) entered into！

「（契約・合意に）入る」= enter into が正しいコロケーション。enter into an agreement / a joint venture はTOEIC頻出表現

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/14,07:02
25,語彙問題系,900,"TOEIC900点でも一瞬止まる問題です。

The new policy will _____ to those employees who joined before the cutoff date.

(A) pertain
(B) relate
(C) apply
(D) concern

答えはリプ👇

#TOEIC #英語学習 #勉強垢",C,「（規則・政策が）適用される」= apply to。pertain to は「関連する」で「適用」ではない。concern は他動詞（to が不要）,"正解は(C) apply！

「（規則・政策が）適用される」= apply to。pertain to は「関連する」で「適用」ではない。concern は他動詞（to が不要）

無料相談・無料レッスンはこちら👇
https://the-rep-english.jp",2026/06/15,06:57
